// Hocus-Pocus Castable Banco de Dados de Habilidades
//
// Estrutura de banco de dados:
// SkillID,DummyName,RequiredHocusPocusLevel,Rate

1,Habilidades Basicas,1,5000

2,Perícia com Espada,1,5000
3,Perícia com Espada de Duas Mãos,1,5000
4,Aumentar Recuperação de HP,1,5000
5,Golpe Fulminante,1,5000
6,Provocar,1,5000
7,Impacto Explosivo,1,5000
8,Vigor,1,5000

9,Aumenta recuperação de SP,1,5000
10,Chama Reveladora,1,5000
11,Ataque Espiritual,1,5000
12,Escudo Mágico,4,5000
13,Espíritos Anciões,2,5000
14,Lanças de Gelo,1,5000
15,Rajada Congelante,2,5000
16,Petrificar,1,5000
17,Bolas de Fogo,2,5000
18,Barreira de Fogo,4,5000
19,Lanças de Fogo,1,5000
20,Relâmpago,1,5000
21,Tempestade de Raios,2,5000

22,Proteção Divina,1,0
23,Flagelo do Mal,1,0
24,Revelação,1,5000
25,Escudo Sagrado,6,5000
26,Teleporte,2,5000
27,Portal,4,5000
28,Cura,1,5000
29,Aumentar Agilidade,2,5000
30,Diminuir Agilidade,4,5000
31,Aqua Benedicta,1,5000
32,Signum Crucis,1,5000
33,Angelus,1,5000
34,Benção,2,5000
35,Medicar,1,5000

36,Aumentar Capacidade de Carga,1,0
37,Desconto,1,0
38,Superfaturar,1,0
39,Usar Carrinho,1,0
40,Identificar Item,1,5000
41,Comércio,4,5000
42,Mammonita,1,5000

43,Precisão,1,0
44,Olhos de Águia,1,0
45,Concentração,4,5000
46,Rajada de Flechas,1,5000
47,Chuva de Flechas,2,5000

48,Ataque Duplo,1,0
49,Perícia em Esquiva,1,0
50,Furto,2,5000
51,Esconderijo,2,5000
52,Envenenar,1,5000,
53,Desintoxicar,1,5000

54,Ressuscitar,1,5000

55,Perícia com Lança,1,0
56,Perfurar,2,4000
57,Brandir Lança,6,4000
58,Estocada,1,4000
59,Lança Bumerangue,4,4000
60,Rapidez Brutal,1,4000
61,Contra-Ataque,2,4000
62,Impacto de Tyr,6,4000
63,Perícia em Montaria,1,0
64,Montaria,1,0

65,Perícia com Maça,1,0
66,Impositio Manus,1,4000
67,Suffragium,2,4000
68,Aspersio,2,4000
69,Benedictio Sanctissimi Sacramenti,4,4000
70,Santuário,2,4000
71,Retardar Veneno,1,4000
72,Graça Divina,1,4000
73,Kyrie Eleison,2,4000
74,Magnificat,2,4000
75,Gloria,4,4000
76,Lex Divina,2,4000
77,Esconjurar,2,4000
78,Lex Aeterna,4,4000
79,Magnus Exorcismus,6,4000

80,Coluna de Fogo,2,4000
81,Supernova,2,4000
//82,Hera Do Fogo,1,0
83,Chuva de Meteoros,6,4000
84,Trovão de Júpiter,2,4000
85,Ira de Thor,6,4000
86,Esfera D'Água,4,4000
87,Barreira de Gelo,2,4000
88,Congelar,1,4000
89,Nevasca,6,4000
90,Coluna de Pedra,1,4000
91,Fúria da Terra,2,4000
92,Pântano dos Mortos,4,4000
93,Sentido Sobrenatural,1,4000

94,Trabalhar Ferro,1,0
95,Trabalhar Aço,1,0
96,Produzir Pedra Fundamental,1,0
97,Perícia com Oridecon,1,0
98,Forjar Adaga,1,0
99,Forjar Espada,1,0
100,Forjar Espada de duas mãos,1,0
101,Forjar Machado,1,0
102,Forjar Maça,1,0
103,Forjar Soqueira,1,0
104,Forjar Lança,1,0
105,Punho Firme,1,0
106,Encontrar Minério,1,0
107,Perícia em Armamento,1,0
108,Consertar Armas,1,0
109,Resistência ao Fogo,1,0
110,Martelo de Thor,1,4000
111,Adrenalina Pura,2,4000
112,Manejo Perfeito,4,4000
113,Força Violenta,4,4000
114,Amplificar Poder,6,4000

115,Armadilha Escorregadia,1,4000
116,Armadilha Atordoante,2,4000
117,Instalar Armadilha,2,4000
118,Armadilha Extenuante,4,4000
119,Armadilha Sonífera,4,4000
120,Armadilha Luminosa,4,4000
121,Armadilha Congelante,4,4000
122,Instalar Mina,4,4000
123,Armadilha Explosiva,6,4000
124,Desativar Armadilha,1,4000
125,Talkie box,1,4000
126,Flagelo das Feras,1,0
127,Adestrar Falcão,1,0
128,Garras de Aço,1,0
129,Ataque Aéreo,4,4000
130,Alerta,1,4000
131,Mensagem Secreta,1,4000

132,Perícia com Mão Direita,1,0
133,Perícia com Mão Esquerda,1,0
134,Perícia com Katar,1,0
135,Furtividade,2,4000
136,Lâminas Destruidoras,2,4000
137,Tocaia,4,4000
138,Envenenar Arma,2,4000
139,Refletir Veneno,2,4000
140,Névoa Tóxica,4,4000
141,Explosão Tóxica,4,40000

//---JP2.0 Additional skill---
142,Pequena recuperaçao,1,5000
143,Fingir de Morto,1,5000
144,Cavalo-força-Recuperação Movente,1,0
145,Ponto Fraco Do Ataque,1,0
146,Auto Berserk,1,0
147,Crafting Da Seta,1,5000
148,A Seta Repele,1,5000
149,Areia Do Throw,1,5000
150,Deslizamento traseiro,1,5000
151,Pedra Do Achado,1,5000
152,A Pedra Arremessa,1,5000
153,Revoluçao do Carrinho,1,5000
154,Trocar de Carrinho,1,5000
155,Uproar Louco,1,5000
156,Crux Divinum,1,5000
157,Revestimento Da Energia,1,5000

//---EP4.0 Skill---
210,Mãos Leves,1,0
211,Afanar,1,4000
212,Túnel de Fuga,4,4000
213,Apunhalar,1,0
214,Ataque Surpresa,2,4000
215,Remover Arma,4,4000
216,Remover Escudo,4,4000
217,Remover Armadura,4,4000
218,Remover Capacete,4,4000
219,Rapto,4,4000
220,Grafitti,1,4000
221,Pichar,2,4000
222,Remover,4,4000
223,Malandragem,1,0
224,Extorquir,1,0
225,Plágio,1,0

226,Perícia com Machado,1,0
227,Pesquisa de Poções,1,0
228,Preparar Poção,1,4000
229,Fogo Grego,2,4000
230,Terror Ácido,2,4000
231,Arremessar Poção,2,4000
232,Criar Flora,4,4000
233,Criar Esfera Marinha,4,4000
234,Revestir Arma,4,4000
235,Revestir Escudo,4,4000
236,Revestir Armadura,4,4000
237,Revestir Capacete,4,4000

//238,Base da vida,1,0
//239,Aprendizado da Vida,1,0
//240,Criação Da Vida,1,0
//241,Cultivaçao,1,0
//242,Controle da Flama,1,0
//243,Chamada Hommunculus,1,0
//244,Descanso Calmo,1,0
//245,Drillmaster,1,0
//246,Cura Hommunculus,1,0
//247,Resureiçao Hommunculus,1,0

248,Fé,1,0
249,Bloqueio,1,4000
250,Punição Divina,2,4000
251,Escudo Bumerangue,2,4000
252,Escudo Refletor,4,4000
253,Crux Divinum,2,4000
254,Crux Magnun,6,4000
255,Redenção,4,4000
256,Divina Providência,2,4000
257,Aura Sagrada,4,4000
258,Rapidez com Lança,1,4000

259,Punhos de Ferro,1,0
260,Meditação,1,0
261,Invocar Esfera Espiritual,1,4000
262,Absorver Esferas Espirituais,1,4000
263,Combo Triplo,1,0
264,Passo Etéreo,4,4000
265,Cair das Pétalas,1,0
266,Impacto Psíquico,2,4000
267,Disparo de Esferas Espirituais,2,4000
268,Corpo Fechado,4,4000
269,Dilema,2,4000
270,Fúria Interior,2,4000
271,Punho Supremo de Asura,6,4000
272,Combo Quadrúplo,1,0
273,O Último Dragão,1,0

274,Estudo de Livros,1,0
275,Cancelar Magia,1,4000
276,Conjuração Livre,1,4000
277,Desconcentrar,2,4000
278,Desejo Arcano,1,0
279,Espelho Mágico,2,4000
280,Encantar com Chama,2,4000
281,Encantar com Geada,2,4000
282,Encantar com Ventania,2,4000
283,Encantar com Terremoto,2,4000
284,Dragonologia,1,0
285,Vulcão,4,4000
286,Dilúvio,4,4000
287,Furacão,4,4000
288,Proteger Terreno,4,4000
289,Desencantar,6,4000
290,Abracadabra,4,4000

// Abracadabra Derivation Skill
291,Monocell,4,2500
292,Mudar Classe,8,2500
293,Aparecer Monstro,6,3500
294,Cara de Orc,4,5000
295,Morre,8,2000
296,Fortuna,6,4000
297,Tame Monster,6,4000
298,Pergunta,4,5000
299,Gravity,4,5000
300,Subir level,10,500
301,Morte Instantanea,4,2000
302,Recuperaçao Total,8,3000
303,Coma,4,4000

// Dancer / Bard commonness
304,Encerramento,1,0
305,Bis,1,0
306,Cantiga de Ninar,1,0
307,Banquete de Njord,1,0
308,Down Tempo,1,0
309,Rufar dos Tambores,1,0
310,Canção Preciosa,1,0
311,Ritmo Caótico,1,0
312,Anel dos Nibelungos,1,0
313,Lamento de Loki,1,0
//314,Ragnarok,1,0

// Bard skill
315,Lições de Música,1,0
316,Estiligue,1,4000
317,Dissonância,1,0
318,Piada Infame,2,4000
319,Assovio,1,0
320,Crepúsculo Sangrento,1,0
321,Poema de Bragis,1,0
322,Maçãs de Idun,1,0

// Dancer skill
323,Lições de Dança,1,0
324,Dança do Ventre,1,4000
325,Escândalo,1,0
326,Sibilo,2,4000
327,Não Me Abandones,1,0
328,Dança Cigana,1,0
329,Sorte de Mulher,1,0
330,Beijo da Sorte,1,0
