// Banco de Dados do Galho Seco (Suscita Monstros)
//
// Estrutura de banco de dados:
// MobID,Nome Falso,Taxa

0,SCORPION,Scorpion,1001
1001,Escorpião,1000000
1002,Poring,1000000
1004,Zangão,1000000
1005,Familiar,1000000
1007,Fabre,1000000
1008,Pupa,1000000
1009,Condor,1000000
1010,Salgueiro,1000000
1011,ChonChon,1000000
1012,Sapo de Rodda,1000000
1013,Lobo,1000000
1014,Esporo,1000000
1015,Zumbi,1000000
1016,Esqueleto Arqueiro,1000000
1018,Creamy,1000000
1019,PecoPeco,1000000
1020,Mandrágora,1000000
1023,Guerreiro Orc,1000000
1024,Rabo de Verme,1000000
1025,Jibóia,1000000
1026,Munak,1000000
1027,Raptice,1000000
1028,Esqueleto Soldado,1000000
1029,Isis,1000000
1030,Anaconda,1000000
1031,Poporing,1000000
1032,Verit,1000000
1033,Salgueiro Ancião,1000000
1034,Sapo de Thara,1000000
1035,Mosca Caçadora,1000000
1036,Carniçal,1000000
1037,Sorrateiro,1000000
1040,Golem,1000000
1041,Múmia,1000000
1042,ChonChon de Aço,1000000
1044,Obeaune,1000000
1045,Cavalo-Marinho,1000000
1047,Ovo de PecoPeco,1000000
1048,Ovo de Besouro-Ladrão,1000000
1049,Picky,1000000
1050,Picky com casca,1000000
1051,Larva de Besouro-Ladrão,1000000
1052,Rocker,1000000
1053,Besouro-Ladrão Fêmea,1000000
1054,Besouro-Ladrão Macho,1000000
1055,Muka,1000000
1056,Fumacento,1000000
1057,Yoyo,1000000
1058,Metaller,1000000
1060,Pé-Grande,1000000
1061,Pesadelo,1000000
1062,Poring Noel,1000000
1063,Lunático,1000000
1064,Megalodon,1000000
1065,Strouf,1000000
1066,Vadon,1000000
1067,Cornutus,1000000
1068,Hidra,1000000
1069,Peixe-Espada,1000000
1070,Kukre,1000000
1071,Esqueleto Pirata,1000000
1076,Esqueleto,1000000
1077,Esporo Venenoso,1000000
1078,Planta Vermelha,1000000
1079,Planta Azul,1000000
1080,Planta Verde,1000000
1081,Planta Amarela,1000000
1083,Planta Brilhante,1000000
1084,Cogumelo Negro,1000000
1085,Cogumelo Vermelho,1000000
1088,Vocal,1000000
1089,Sapo-Cururu,1000000
1090,Mastering,1000000
1091,Libélula,1000000
1092,Lobo Errante,1000000
1093,Eclipse,1000000
1094,Ambernite,1000000
1095,Andre,1000000
1096,Angeling,1000000
1097,Ovo de Andre,1000000
1099,Argiope,1000000
1100,Argos,1000000
1101,Bafomé Jr,1000000
1102,Bathory,1000000
1103,Caramelo,1000000
1104,Koko,1000000
1105,Deniro,1000000
1106,Lobo do Deserto,1000000
1107,Filhote de Lobo do Deserto,1000000
1108,Deviace,1000000
1109,Deviruchi,1000000
1110,Dokebi,1000000
1111,Drainliar,1000000
1113,Drops,1000000
1114,Poeira,1000000
1116,Eggyra,1000000
1117,Druida Malígno,1000000
1118,Flora,1000000
1119,Frilldora,1000000
1120,Ghostring,1000000
1121,Giearth,1000000
1122,Goblin,1000000
1123,Goblin,1000000
1124,Goblin,1000000
1125,Goblin,1000000
1126,Goblin,1000000
1127,Hode,1000000
1128,Besouro-Chifre,1000000
