// _________                                    
// \_   ___ \_______  ____   ____  __ __  ______
// /    \  \/\_  __ \/  _ \ /    \|  |  \/  ___/
// \     \____|  | \(  <_> )   |  \  |  /\___ \ 
//  \______  /|__|   \____/|___|  /____//____  >
//         \/                   \/           \/  
//-----------------------------------------------
// Cronus - Configuração do Skill Tree
//-----------------------------------------------
//Número da Classe,ID da Habilidade,Nível Máximo,Pre-requisito Habilidade-ID-1,Pre-requisito Habilidade-ID-1-Lv,Pre-requisito Habilidade-ID-2,Pre-requisito Habilidade-ID-2-Lv,Pre-requisito Habilidade-ID-3,Pre-requisito Habilidade-ID-3-Lv,Pre-requisito Habilidade-ID-4,Pre-requisito Habilidade-ID-4-Lv,Pre-requisito Habilidade-ID-5,Pre-requisito Habilidade-ID-5-Lv

//Aprendiz
0,1,9,0,0,0,0,0,0,0,0,0,0 //NV_BASIC#Basic Skill#
0,142,1,0,0,0,0,0,0,0,0,0,0 //NV_FIRSTAID#First Aid#
0,143,1,0,0,0,0,0,0,0,0,0,0 //NV_TRICKDEAD#Act Dead#

//Espadachim
1,1,9,0,0,0,0,0,0,0,0,0,0 //NV_BASIC#Basic Skill#
1,142,1,0,0,0,0,0,0,0,0,0,0 //NV_FIRSTAID#First Aid#
1,2,10,0,0,0,0,0,0,0,0,0,0 //SM_SWORD#Sword Mastery#
1,3,10,2,1,0,0,0,0,0,0,0,0 //SM_TWOHAND#Two-Handed Sword Mastery#
1,4,10,0,0,0,0,0,0,0,0,0,0 //SM_RECOVERY#Increase HP Recovery#
1,5,10,0,0,0,0,0,0,0,0,0,0 //SM_BASH#Bash#
1,6,10,0,0,0,0,0,0,0,0,0,0 //SM_PROVOKE#Provoke#
1,7,10,5,5,0,0,0,0,0,0,0,0 //SM_MAGNUM#Magnum Break#
1,8,10,6,5,0,0,0,0,0,0,0,0 //SM_ENDURE#Endure#
1,144,1,0,0,0,0,0,0,0,0,0,0 //SM_MOVINGRECOVERY#Moving HP-Recovery#
1,145,1,0,0,0,0,0,0,0,0,0,0 //SM_FATALBLOW#Attack Weak Point#
