// Banco de Dados de Itens Obtidos no Gift Box
//
// Estrutura do Banco de Dados:
// GroupID,ItemID,Rate

// GiftBox
4,756,5		  //Minério de Oridecon
4,757,2		  //Minério de Elunium
4,984,2		  //Oridecon
4,985,1		  //Elunium
4,714,1		  //Emperium
4,999,1		  //Aço
4,1000,1	  //Fragmento Misteriosoo Estelar
4,994,1		  //Coração Flamejante
4,995,1		  //Gelo Místico
4,996,1		  //Vento Bruto
4,997,1		  //Natureza Grandiosa
4,975,1		  //Tintura Vermelha
4,976,1		  //Limão Dyestuff
4,978,1		  //Tintura Azul
4,979,1		  //Tintura Verde
4,980,1		  //Tintura Laranja
4,981,1		  //Tintura Violeta
4,982,1		  //Tintura Branca
4,983,1		  //Tintura Preta
4,969,1		  //Ouro
4,718,1		  //Granada
4,719,1		  //Ametista
4,720,1		  //Aquamarina
4,721,1		  //Esmeralda
4,722,1		  //Pérola
4,723,1		  //Rubi
4,724,1		  //Rubi Amaldiçoado
4,725,1		  //Cristal de Peridotoo
4,726,1		  //Safira
4,727,1		  //Opala
4,728,1		  //Topázio
4,729,1		  //Zircônio
4,730,1		  //Diamante de 1 quilate
4,731,1		  //Diamante de 2 quilates
4,732,1		  //Diamante de 3 quilates
4,733,1		  //Diamante Rachado
4,734,1		  //Moldura Vermelha
4,735,1		  //Chung Jah
4,736,1		  //Prato de Porcelana
4,737,1		  //Conchaa Preta
4,738,1		  //Estojo de Lápis
4,739,1		  //Batom
4,740,1		  //Boneco de Pelúcia
4,741,1		  //Boneco de Poring
4,742,1		  //Boneco de Chonchon
4,743,1		  //Boneco de Esporo
4,744,1		  //Buquê
4,745,1		  //Buquê de Casamento
4,746,1		  //Bolinha de Gude
4,747,1		  //Espelho de Cristal
4,748,1		  //Rosa Eterna
4,749,1		  //Rosa de Gelo
4,750,1		  //Boneco de Bafomé
4,751,1		  //Boneco de Osíris
4,752,1		  //Boneco de Rocker
4,753,1		  //Boneco de Yoyo
4,754,1		  //Boneco de Fumacento
4,706,1		  //Trevo de Quatro Folhas
4,4005,1	  //Carta Poring Noel
4,7034,1	  //Meia Furada
4,501,1		  //Poção Vermelha
4,502,1		  //Poção Laranja
4,503,1		  //Poção Amarela
4,504,1		  //Poção Branca
4,505,1		  //Poção Azul
4,506,1		  //Poção Verde
4,526,1		  //Geléia Real
4,529,1		  //Bala
4,530,1		  //Bala Cane
4,537,1		  //Ração para Bichinho
4,538,1		  //Biscoito de Gengibre
4,539,1		  //Pedaço de Bolo
4,603,1		  //Caixa Azul Velha
4,617,1		  //Velha Caixa Roxa
4,644,19	  //Caixa de Presente
4,1558,1	  //Diário de Menina
// GiftBox_1
28,756,5	  //Minério de Oridecon
28,757,2	  //Minério de Elunium
28,984,2	  //Oridecon
28,985,1	  //Elunium
28,714,1	  //Emperium
28,999,1	  //Aço
28,1000,1	  //Fragmento Misteriosoo Estelar
28,994,1	  //Coração Flamejante
28,995,1	  //Gelo Místico
28,996,1	  //Vento Bruto
28,997,1	  //Natureza Grandiosa
28,975,1	  //Tintura Vermelha
28,976,1	  //Limão Dyestuff
28,978,1	  //Tintura Azul
28,979,1	  //Tintura Verde
28,980,1	  //Tintura Laranja
28,981,1	  //Tintura Violeta
28,982,1	  //Tintura Branca
28,983,1	  //Tintura Preta
28,969,1	  //Ouro
28,718,1	  //Granada
28,719,1	  //Ametista
28,720,1	  //Aquamarina
28,721,1	  //Esmeralda
28,722,1	  //Pérola
28,723,1	  //Rubi
28,724,1	  //Rubi Amaldiçoado
28,725,1	  //Cristal de Peridotoo
28,726,1	  //Safira
28,727,1	  //Opala
28,728,1	  //Topázio
28,729,1	  //Zircônio
28,730,1	  //Diamante de 1 quilate
28,731,1	  //Diamante de 2 quilates
28,732,1	  //Diamante de 3 quilates
28,733,1	  //Diamante Rachado
28,734,1	  //Moldura Vermelha
28,735,1	  //Chung Jah
28,736,1	  //Prato de Porcelana
28,737,1	  //Conchaa Preta
28,738,1	  //Estojo de Lápis
28,739,1	  //Batom
28,740,1	  //Boneco de Pelúcia
28,741,1	  //Boneco de Poring
28,742,1	  //Boneco de Chonchon
28,743,1	  //Boneco de Esporo
28,744,1	  //Buquê
28,745,1	  //Buquê de Casamento
28,746,1	  //Bolinha de Gude
28,747,1	  //Espelho de Cristal
28,748,1	  //Rosa Eterna
28,749,1	  //Rosa de Gelo
28,750,1	  //Boneco de Bafomé
28,751,1	  //Boneco de Osíris
28,752,1	  //Boneco de Rocker
28,753,1	  //Boneco de Yoyo
28,754,1	  //Boneco de Fumacento
28,706,1	  //Trevo de Quatro Folhas
28,4005,1	  //Carta Poring Noel
28,7034,1	  //Meia Furada
28,501,1	  //Poção Vermelha
28,502,1	  //Poção Laranja
28,503,1	  //Poção Amarela
28,504,1	  //Poção Branca
28,505,1	  //Poção Azul
28,506,1	  //Poção Verde
28,526,1	  //Geléia Real
28,529,1	  //Bala
28,530,1	  //Bala Cane
28,537,1	  //Ração para Bichinho
28,538,1	  //Biscoito de Gengibre
28,539,1	  //Pedaço de Bolo
28,603,1	  //Caixa Azul Velha
28,617,1	  //Velha Caixa Roxa
28,644,19	  //Caixa de Presente
28,1558,1	  //Diário de Menina
//GiftBox_2
29,756,5	  //Minério de Oridecon
29,757,2	  //Minério de Elunium
29,984,2	  //Oridecon
29,985,1	  //Elunium
29,714,1	  //Emperium
29,999,1	  //Aço
29,1000,1	  //Fragmento Misteriosoo Estelar
29,994,1	  //Coração Flamejante
29,995,1	  //Gelo Místico
29,996,1	  //Vento Bruto
29,997,1	  //Natureza Grandiosa
29,975,1	  //Tintura Vermelha
29,976,1	  //Limão Dyestuff
29,978,1	  //Tintura Azul
29,979,1	  //Tintura Verde
29,980,1	  //Tintura Laranja
29,981,1	  //Tintura Violeta
29,982,1	  //Tintura Branca
29,983,1	  //Tintura Preta
29,969,1	  //Ouro
29,718,1	  //Granada
29,719,1	  //Ametista
29,720,1	  //Aquamarina
29,721,1	  //Esmeralda
29,722,1	  //Pérola
29,723,1	  //Rubi
29,724,1	  //Rubi Amaldiçoado
29,725,1	  //Cristal de Peridotoo
29,726,1	  //Safira
29,727,1	  //Opala
29,728,1	  //Topázio
29,729,1	  //Zircônio
29,730,1	  //Diamante de 1 quilate
29,731,1	  //Diamante de 2 quilates
29,732,1	  //Diamante de 3 quilates
29,733,1	  //Diamante Rachado
29,734,1	  //Moldura Vermelha
29,735,1	  //Chung Jah
29,736,1	  //Prato de Porcelana
29,737,1	  //Conchaa Preta
29,738,1	  //Estojo de Lápis
29,739,1	  //Batom
29,740,1	  //Boneco de Pelúcia
29,741,1	  //Boneco de Poring
29,742,1	  //Boneco de Chonchon
29,743,1	  //Boneco de Esporo
29,744,1	  //Buquê
29,745,1	  //Buquê de Casamento
29,746,1	  //Bolinha de Gude
29,747,1	  //Espelho de Cristal
29,748,1	  //Rosa Eterna
29,749,1	  //Rosa de Gelo
29,750,1	  //Boneco de Bafomé
29,751,1	  //Boneco de Osíris
29,752,1	  //Boneco de Rocker
29,753,1	  //Boneco de Yoyo
29,754,1	  //Boneco de Fumacento
29,706,1	  //Trevo de Quatro Folhas
29,4005,1	  //Carta Poring Noel
29,7034,1	  //Meia Furada
29,501,1	  //Poção Vermelha
29,502,1	  //Poção Laranja
29,503,1	  //Poção Amarela
29,504,1	  //Poção Branca
29,505,1	  //Poção Azul
29,506,1	  //Poção Verde
29,526,1	  //Geléia Real
29,529,1	  //Bala
29,530,1	  //Bala Cane
29,537,1	  //Ração para Bichinho
29,538,1	  //Biscoito de Gengibre
29,539,1	  //Pedaço de Bolo
29,603,1	  //Caixa Azul Velha
29,617,1	  //Velha Caixa Roxa
29,644,19	  //Caixa de Presente
29,1558,1	  //Diário de Menina
// Gift_Box3
30,756,5	  //Minério de Oridecon
