//GroupID,ItemID,Rate
//
// Poções
8,678,1	//Garrafa de Veneno
8,501,1	//Poção Vermelha
8,502,1	//Poção Laranja
8,503,1	//Poção Amarela
8,504,1	//Poção Branca
8,505,1	//Poção Azul
8,506,1	//Poção Verde
8,545,1	//Poção Vermelha Compacta
8,546,1	//Poção Amarela Compacta
8,547,1	//Poção Branca Compacta
8,645,1	//Poção da Concentração
8,656,1	//Poção do Despertar
8,657,1	//Poção da Fúria Selvagem
8,569,1	//Poção de Aprendiz
8,605,1	//Analgésico
8,501,1	//Poção Vermelha
8,502,1	//Poção Laranja
8,503,1	//Poção Amarela
8,504,1	//Poção Branca
8,505,1	//Poção Azul
8,506,1	//Poção Verde
8,545,1	//Poção Vermelha Compacta
8,546,1	//Poção Amarela Compacta
8,547,1	//Poção Branca Compacta
8,645,1	//Poção da Concentração
8,656,1	//Poção do Despertar
8,657,1	//Poção da Fúria Selvagem
8,569,1	//Poção de Aprendiz
8,605,1	//Analgésico
8,501,1	//Poção Vermelha
8,502,1	//Poção Laranja
8,503,1	//Poção Amarela
8,504,1	//Poção Branca
8,505,1	//Poção Azul
8,506,1	//Poção Verde
8,545,1	//Poção Vermelha Compacta
8,546,1	//Poção Amarela Compacta
8,547,1	//Poção Branca Compacta
8,645,1	//Poção da Concentração
8,656,1	//Poção do Despertar
8,657,1	//Poção da Fúria Selvagem
8,569,1	//Poção de Aprendiz
8,605,1	//Analgésico
8,501,1	//Poção Vermelha
8,502,1	//Poção Laranja
8,503,1	//Poção Amarela
8,504,1	//Poção Branca
8,505,1	//Poção Azul
8,506,1	//Poção Verde
8,545,1	//Poção Vermelha Compacta
8,546,1	//Poção Amarela Compacta
8,547,1	//Poção Branca Compacta
8,645,1	//Poção da Concentração
8,656,1	//Poção do Despertar
8,657,1	//Poção da Fúria Selvagem
8,569,1	//Poção de Aprendiz
8,605,1	//Analgésico
8,501,1	//Poção Vermelha
8,502,1	//Poção Laranja
8,503,1	//Poção Amarela
8,504,1	//Poção Branca
8,505,1	//Poção Azul
8,506,1	//Poção Verde
8,545,1	//Poção Vermelha Compacta
8,546,1	//Poção Amarela Compacta
8,547,1	//Poção Branca Compacta
8,645,1	//Poção da Concentração
8,656,1	//Poção do Despertar
8,657,1	//Poção da Fúria Selvagem
8,569,1	//Poção de Aprendiz
8,605,1	//Analgésico
// Ervas
9,507,1
9,508,1
9,509,1
9,510,1
9,511,1
// Frutas
10,512,1
10,513,1
10,514,1
10,515,1
10,516,1
// Carnes
11,517,1
11,528,1
// Doces
12,529,1
12,530,1
// Sucos (removed Grape juice 533)
13,531,1
13,532,1
13,534,1		
// Peixes
14,544,1
14,551,1
// Boxes
15,603,1
15,617,1
15,644,1
// Gemas
16,715,1
16,716,1
16,717,1
// Minérios
18,756,1
18,757,1
18,998,1
18,999,1
18,1002,1
