// _________                                    
// \_   ___ \_______  ____   ____  __ __  ______
// /    \  \/\_  __ \/  _ \ /    \|  |  \/  ___/
// \     \____|  | \(  <_> )   |  \  |  /\___ \ 
//  \______  /|__|   \____/|___|  /____//____  >
//         \/                   \/           \/  
//-----------------------------------------------
// Cronus - Configuração das Habilidades
//-----------------------------------------------

//id,range,hit,inf,pl,nk,max,list_num,castcancel,cast_defence_rate,inf2,maxcount,skill_type,blow_count
// 01 ID
// 02 range
// 03 hit (8- repeated hitting, 6- single-hit)
// 04 inf (0- passive, 1- enemy, 2- place, 4- self, 16- friend, 32- trap)
// 05 pl attributes (0- nothing, 1- water, 2- earth, 3- fire, 4- wind, 5- poison, 6- saint, 7- darkness, 8- sense, 9- immortality)
// 06 nk (0- normal skill, 1-no damage skill, 2-splash damage skill)
// 07 splash/effect range (-1 for screen-wide)
// 08 MaxLv
// 09 Hit frequency (number of hits skill does)
// 10 castcancelled (it is cancelled at 1. Are not cancelled with 0)
// 11 defense-reduction rate during cast.
// 12 inf2 (skill information 2) (1- quest skill,  2- npc skill, 4- wedding skill, 8- spirit skill,
//    16- guild skill, 32- song/dance, 64- ensemble skill, 128- trap (can be targetted),
//    256- skill that damages/targets yourself, 512- skill that cannot be casted on self
//    1024- usable only on party-members, 2048- usable only on guild-mates)
// 13 maxcount: max amount of skill instances to place on the ground when
//    player_land_skill_limit/monster_land_skill_limit is enabled.
// 14 attack type (none, weapon, magic, misc)
// 15 Blowcount (amount of tiles skill knockbacks)

1,0,0,0,0,0,0,9,0,no,0,0,0,none,0	//NV_BASIC#Habilidades Básicas#
2,0,0,0,0,0,0,10,0,no,0,0,0,weapon,0	//SM_SWORD#Perícia com Espada#
3,0,0,0,0,0,0,10,0,no,0,0,0,weapon,0	//SM_TWOHAND#Two-Handed Perícia com Espada#
4,0,0,0,0,0,0,10,0,no,0,0,0,none,0	//SM_RECOVERY#Aumentar Recuperação de HP#
5,-1,6,1,-1,0,0,10,1,no,0,0,0,weapon,0	//SM_BASH#Golpe Fulminante#
6,9,6,1,0,1,0,10,1,no,0,0,0,none,0	//SM_PROVOKE#Provocar#
7,0,6,4,3,0x2,2,10,1,no,0,0,0,weapon,2	//SM_MAGNUM#Impacto Explosivo#
8,0,6,4,0,0x1,0,10,1,no,0,0,0,weapon,0	//SM_ENDURE#Vigor#
9,0,0,0,0,0,0,10,0,no,0,0,0,none,0	//MG_SRECOVERY#Aumentar Recuperação de SP#
10,0,6,4,3,0x3,3,1,1,yes,0,0,0,magic,0	//MG_SIGHT#Chama Reveladora#
11,9,6,1,8,0x6,1,10,1,yes,0,0,0,magic,0	//MG_NAPALMBEAT#Ataque Espiritual#
12,9,8,2,8,0x1,0,10,1,yes,0,0,0,magic,0	//MG_SAFETYWALL#Escudo Mágico#
13,9,8,1,8,0,0,10,1:1:2:2:3:3:4:4:5:5,yes,0,0,0,magic,0	//MG_SOULSTRIKE#Espíritos Anciões#
14,9,8,1,1,0,0,10,1:2:3:4:5:6:7:8:9:10,yes,0,0,0,magic,0	//MG_COLDBOLT#Lanças de Gelo#
15,9,6,1,1,0,0,10,1,yes,0,0,0,magic,0	//MG_FROSTDIVER#Rajada Congelante#
16,2,6,1,2,0x1,0,10,1,yes,0,0,0,magic,0	//MG_STONECURSE#Petrificar#
17,9,6,1,3,0x2,2,10,1,yes,0,0,0,magic,0	//MG_FIREBALL#Bolas de Fogo#
18,9,6,2,3,0,0,10,1,yes,0,0,3,magic,1	//MG_FIREWALL#Barreira de Fogo#
19,9,8,1,3,0,0,10,1:2:3:4:5:6:7:8:9:10,yes,0,0,0,magic,0	//MG_FIREBOLT#Lanças de Fogo#
20,9,8,1,4,0,0,10,1:2:3:4:5:6:7:8:9:10,yes,0,0,0,magic,0	//MG_LIGHTNINGBOLT#Relâmpago#
21,9,8,2,4,0,0,10,1:2:3:4:5:6:7:8:9:10,yes,0,0,0,magic,0	//MG_THUNDERSTORM#Tempestade de Raios#
22,0,0,0,0,0,0,10,0,no,0,0,0,weapon,0	//AL_DP#Proteção Divina#
23,0,0,0,0,0,0,10,0,no,0,0,0,weapon,0	//AL_DEMONBANE#Flagelo do Mal#
24,0,6,4,6,0x3,2,1,1,yes,0,0,0,magic,0	//AL_RUWACH#Revelação#
25,9,6,2,0,0x1,0,1,1,yes,0,0,0,magic,0	//AL_PNEUMA#Escudo Sagrado#
26,0,6,4,0,0x1,0,2,1,yes,0,0,0,magic,0	//AL_TELEPORT#Teleporte#
27,9,6,2,0,0x1,0,4,1,yes,0,0,3,magic,0	//AL_WARP#Portal#
28,9,6,16,6,0x21,0,10,1,yes,0,0,0,magic,0	//AL_HEAL#Curar#
29,9,6,16,0,0x1,0,10,1,yes,0,0,0,magic,0	//AL_INCAGI#Aumentar Agilidade#
30,9,6,1,0,0x1,0,10,1,yes,0,0,0,magic,0		//AL_DECAGI#Diminuir Agilidade#
31,0,6,4,0,0x1,0,1,1,yes,0,0,0,magic,0	//AL_HOLYWATER#Aqua Benedicta#
32,0,6,4,0,0x3,15,10,1,yes,0,0,0,magic,0	//AL_CRUCIS#Signum Crusis#
33,0,6,4,0,0x3,-1,10,1,yes,0,0,0,magic,0	//AL_ANGELUS#Angelus#
34,9,6,16,0,0x1,0,10,1,yes,0,0,0,magic,0	//AL_BLESSING#Benção#
35,9,6,16,0,0x1,0,1,1,yes,0,0,0,magic,0	//AL_CURE#Medicar#
36,0,0,0,0,0,0,10,0,no,0,0,0,none,0	//MC_INCCARRY#Aumentar Capacidade de Carga#
37,0,0,0,0,0,0,10,0,no,0,0,0,none,0	//MC_DISCOUNT#Desconto#
38,0,0,0,0,0,0,10,0,no,0,0,0,none,0	//MC_OVERCHARGE#Superfaturar#
39,1,0,0,0,0,0,10,0,no,0,0,0,none,0	//MC_PUSHCART#Usar Carrinho#
40,1,6,4,0,0x1,0,1,1,no,0,0,0,none,0	//MC_IDENTIFY#Identificar Item#
41,1,6,4,0,0x1,0,10,1,no,0,0,0,none,0	//MC_VENDING#Comércio#
42,-1,6,1,-1,0,0,10,1,no,0,0,0,weapon,0	//MC_MAMMONITE#Mammonita#
43,0,0,0,0,0,0,10,0,no,0,0,0,none,0	//AC_OWL#Precisão#
44,0,0,0,0,0,0,10,0,no,0,0,0,none,0	//AC_VULTURE#Olhos de Águia#
45,0,6,4,0,0x3,1,10,1,no,0,0,0,weapon,0	//AC_CONCENTRATION#Concentração#
46,-9,8,1,-1,0,0,10,2,no,0,0,0,weapon,0	//AC_DOUBLE#Rajada de Flechas#
