// GROUP,Item ID1,Item ID2,Item ID3,...,Item ID20
//
1,501,502,503,504,505,506	// poções
2,507,508,509,510,511		// ervas
3,512,513,514,515,516		// frutas
4,517,528			// carne
5,529,530			// doce
6,531,532,534		// sucos (suco de Uva removido 533)
7,544,551			// peixe cru
8,603,617,644			// caixas
9,715,716,717			// pedras preciosa
10,909,7126			// jellopy/jellopy gigantesco
11,756,757,998,999,1002,1003,1010,1011	// minérios
12,512,513,514,515,516,517,528,529,530,544,551	// tipos de comida
13,501,502,503,504,505,506,507,508,509,510,511,531,532,533,534	// tipos-recuperação
14,714,756,757,969,984,985,990,991,992,993,994,995,996,997,998,999,1002,1003,1010,1011	// minerais
15,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,635,636,637,638,639,640,641,642,659,660,661	// items para mascotes
16,0	//Scrolls
17,0	//tremores
18,2263,2278,2288,2297,5043	//máscaras
19,2601,2602,2603,2604,2605,2606,2607,2608,2610,2611,2612,2613,2614,2615,2616,2617,2618,2619,2620,2621,2622,2623,2624,2625,2626,2627,2628 //acessório
