// アイテム価格データ（item_db.txtのデータにオーバーライドされます）
//ID,Name,Jname,Price,Sell,Not_DC,Not_OC
501,Red_Potion,Red Potion,50,,,
502,Orange_Potion,Orange Potion,200,,,
503,Yellow_Potion,Yellow Potion,550,,,
504,White_Potion,White Potion,1200,,,
505,Blue_Potion,Blue Potion,5000,,,
506,Green_Potion,Green Potion,40,,,
507,Red_Herb,Red Herb,18,,,
508,Yellow_Herb,Yellow Herb,40,,,
509,White_Herb,White Herb,120,,,
510,Blue_Herb,Blue Herb,60,,,
511,Green_Herb,Green Herb,10,,,
512,Apple,Apple,15,,,
513,Banana,Banana,15,,,
514,Grape,Grape,200,,,
515,Carrot,Carrot,15,,,
516,Sweet_Potato,Sweet Potato,15,,,
517,Meat,Meat,55,,,
518,Honey,Honey,500,,,
519,Milk,Milk,25,,,
520,Leaflet_of_Hinalle,Hinalle Leaflet,150,,,
521,Leaflet_of_Aloe,Aloe Leaflet,360,,,
522,Fruit_of_Mastela,Mastela Fruit,840,,,
523,Holy_Water,Holy Water,20,,,
525,Panacea,Panacea,500,,,
526,Royal_Jelly,Royal Jelly,7000,,,
528,Monster's_Feed,Monster's Feed,60,,,
529,Candy,Candy,10,,,
530,Candy_Striper,Candy Cane,20,,,
531,Apple_Juice,Apple Juice,20,,,
532,Banana_Juice,Banana Juice,20,,,
533,Grape_Juice,Grape Juice,250,,,
534,Carrot_Juice,Carrot Juice,20,,,
535,Pumpkin,Pumpkin,15,,,
536,Ice_Cream,Ice Cream,150,,,
537,Pet_Food,Pet Food,2500,,,
538,Well_baked_Cookie,Well-baked Cookie,1000,,,
539,Piece_of_Cake,Piece of Cake,3000,,,
540,Feed_for_Falcon,Feed for Falcon,,,,
541,Feed_for_PecoPeco,Feed for PecoPeco,,,,
542,Festive_Cookie,Festive Cookie,,,,
543,Festive_Rainbow_Cake,Festive Rainbow Cake,,,,
544,Fish_Slice,Raw Fish,,,,
545,Red_Slim_Potion,Red Slim Potion,,,,
546,Yellow_Slim_Potion,Yellow Slim Potion,,,,
547,White_Slim_Potion,White Slim Potion,,,,
548,Cheese,Cheese,,,,
549,Very_Sweet_Potato,Very Sweet Potato,,,,
550,Popped_Rice,Popped Rice,,,,
551,Sushi,Sushi,,,,
601,Wing_of_Fly,Fly Wing,100,,,
602,Wing_of_Butterfly,Butterfly Wing,500,,,
603,Old_Blue_Box,Old Blue Box,2,,,
604,Branch_of_Dead_tree,Branch of Dead tree,2,,,
605,Anodyne,Anodyne,1000,,,
606,Aloebera,Aloevera,2,,,
607,Yggdrasilberry,Yggdrasilberry,2,,,
608,Seed_of_Yggdrasil,Yggdrasil Seed,2,,,
609,Amulet,Amulet,100,,,
610,Leaf_of_Yggdrasil,Yggdrasil Leaf,2000,,,
611,Spectacles,Magnifier,40,,,
612,Portable_Furnace,Mini Furnace,150,,,
613,Iron_Hammer,Iron Hammer,1000,,,
614,Golden_Hammer,Golden Hammer,3000,,,
615,Oridecon_Hammer,Oridecon Hammer,5000,,,
616,Old_Card_Album,Old Card Album,2,,,
617,Old_Violet_Box,Old Violet Box,2,,,
618,Worn_Out_Scroll,Worn Out Scroll,2,,,
619,Unripe_Apple,Unripe Apple,1000,,,
620,Orange_Juice,Orange Juice,1500,,,
621,Bitter_Herb,Bitter Herb,20,,,
622,Rainbow_Carrot,Rainbow Carrot,2500,,,
623,Earthworm_the_Dude,Earthworm the Dude,4000,,,
624,Rotten_Fish,Rotten Fish,2500,,,
625,Lusty_Iron,Rusty Iron,100,,,
626,Monster_Juice,Monster Juice,1500,,,
627,Sweet_Milk,Sweet Milk,7000,,,
628,Well_Dried_Bone,Well Dried Bone,10000,,,
629,Singing_Flower,Singing Flower,300,,,
630,Dew_Laden_Moss,Dew Laden Moss,10,,,
631,Deadly_Noxious_Herb,Deadly Noxious Herb,20,,,
632,Fatty_Chubby_Earthworm,Fatty Chubby Earthworm,5000,,,
633,Baked_Yam,Baked Yam,20,,,
634,Tropical_Banana,Tropical Banana,20,,,
635,Horror_of_Tribe,Horror of Tribe,300,,,
636,No_Recipient,No Recipient,100,,,
637,Old_Broom,Old Broom,350,,,
638,Silver_Knife_of_Chaste,Silver Knife of Chastity,12000,,,
639,Armlet_of_Obedience,Armlet of Obedience,18000,,,
640,Shining_Stone,Shining Stone,3000,,,
641,Contracts_in_Shadow,Contracts in Shadow,100,,,
642,Book_of_Devil,Book of Devil,1800,,,
643,Pet_Incubator,Pet Incubator,3000,,,
644,Gift_Box,Gift Box,2,,,
645,Center_Potion,Concentration Potion,1000,,,
656,Awakening_Potion,Awakening Potion,1000,,,
657,Verserk_Potion,Berserk Potion,1000,,,
658,Union_of_Tribe,Tribal Solidarity,1000,,,
