//weight,hp,sp,aspd*17(素手,短剣,片手剣,両手剣,片手槍,両手槍,片手斧,両手斧,片手鈍器,両手鈍器,杖,弓,爪,楽器,鞭,本,カタール)
//x NV,SW,MG,AC,AL,MC,TF,KN,PR,WZ,BS,HT,AS,KNp,CR,MO,SA,RG,AM,BA,DC,CRp
20000,0          ,10, 500, 650, 700,2000,2000,2000, 800,2000, 700,2000, 650,2000,2000,2000,2000,2000,2000
28000,0.700808081,20, 400, 500, 550, 600, 650, 700, 700, 750, 650, 700,2000,2000,2000,2000,2000,2000,2000
22000,0.30101    ,60, 500, 600,2000,2000,2000,2000,2000,2000,2000,2000, 700,2000,2000,2000,2000,2000,2000
26000,0.4        ,20, 400, 600,2000,2000,2000,2000,2000,2000,2000,2000,2000, 700,2000,2000,2000,2000,2000
24000,0.504848   ,50, 400,2000,2000,2000,2000,2000,2000,2000, 600, 650, 600,2000,2000,2000,2000,2000,2000
28000,0.399527745,30, 400, 600, 700,2000,2000,2000, 700, 750, 700, 750,2000,2000,2000,2000,2000,2000,2000
24000,0.4        ,20, 400, 500, 650,2000,2000,2000, 800,2000,2000,2000,2000, 800,2000,2000,2000,2000,2000
28000,1.504867943,30, 400, 500, 500, 550, 600, 600, 700, 700, 650, 700,2000,2000,2000,2000,2000,2000,2000
26000,0.752589   ,80, 400,2000,2000,2000,2000,2000,2000,2000, 600, 650, 600,2000,2000,2000,2000, 600,2000
24000,0.550109   ,90, 500, 575,2000,2000,2000,2000,2000,2000,2000,2000, 625,2000,2000,2000,2000,2000,2000
30000,0.901158   ,40, 400, 600, 650,2000,2000,2000, 650, 650, 675, 750,2000,2000,2000,2000,2000,2000,2000
27000,0.850302   ,40, 400, 600,2000,2000,2000,2000,2000,2000,2000,2000,2000, 600,2000,2000,2000,2000,2000
24000,1.1        ,40, 400, 500, 650,2000,2000,2000, 800,2000,2000,2000,2000,2000,2000,2000,2000,2000, 500
20000,1.504867943, 0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
28000,0.78       ,47, 400, 500, 500, 550, 600, 600, 700, 700, 650, 700,2000,2000,2000,2000,2000,2000,2000
26000,0.74       ,47, 400,2000,2000,2000,2000,2000,2000,2000, 575, 625, 575,2000, 475,2000,2000,2000,2000
24000,0.9        ,70, 450, 525,2000,2000,2000,2000,2000,2000,2000,2000, 625,2000,2000,2000,2000, 550,2000
24000,0.8502     ,50, 400, 500, 650,2000,2000,2000, 800,2000,2000,2000,2000, 650,2000,2000,2000,2000,2000
30000,0.901158   ,40, 400, 550, 575,2000,2000,2000, 675, 700, 675, 750,2000,2000,2000,2000,2000,2000,2000
27000,0.7051     ,60, 400, 550,2000,2000,2000,2000,2000,2000,2000,2000,2000, 650,2000, 575,2000,2000,2000
27000,0.7051     ,60, 400, 550,2000,2000,2000,2000,2000,2000,2000,2000,2000, 650,2000,2000, 575,2000,2000
20000,0.78       , 0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
20000,0          , 0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
24000,0.81273656 ,60, 450, 650, 625, 650, 700, 725, 750, 725, 650,2000, 625, 725,2000,2000,2000,2000,2000
