//= otRag ??
//pay_dun00,0,0,0,0	monster	Esqueleto	1076,25,0,0,0
pay_dun00,0,0,0,0	monster	Familiar	1005,15,0,0,0
pay_dun00,0,0,0,0	monster	Jibóia	1025,5,0,0,0
pay_dun00,0,0,0,0	monster	Esporo	1014,20,0,0,0
pay_dun00,0,0,0,0	monster	Zumbi	1015,20,0,0,0
pay_dun00,0,0,0,0	monster	Planta Vermelha	1078,15,180000,90000,1
pay_dun00,140,140,5,5	monster	Cogumelo Negro	1084,3,180000,90000,1

pay_dun01,0,0,0,0	monster	Cogumelo Negro	1084,3,450000,225000,1
pay_dun01,0,0,0,0	monster	Planta Vermelha	1078,10,180000,90000,1
pay_dun01,0,0,0,0	monster	Familiar	1005,10,0,0,0
pay_dun01,0,0,0,0	monster	Martin	1145,15,0,0,0
pay_dun01,0,0,0,0	monster	Fumacento	1056,25,0,0,0
pay_dun01,0,0,0,0	monster	Eggyra	1116,15,0,0,0
pay_dun01,0,0,0,0	monster	Magnólia	1138,10,0,0,0
//pay_dun01,0,0,0,0	monster	Esqueleto	1076,20,0,0,0
pay_dun01,0,0,0,0	monster	Bongun	1188,1,200000,50000,1
pay_dun01,0,0,0,0	monster	Munak	1026,1,200000,50000,1

pay_dun02,37,243,0,0	monster	Cogumelo Negro	1084,1,300000,150000,1
pay_dun02,111,199,10,10	monster	Cogumelo Negro	1084,7,450000,225000,1
pay_dun02,214,266,0,0	monster	Planta Vermelha	1078,1,300000,150000,1
pay_dun02,0,0,0,0	monster	Planta Vermelha	1078,10,90000,45000,1
pay_dun02,0,0,0,0	monster	Planta Branca	1082,5,180000,90000,1
pay_dun02,227,185,0,0	monster	Mandrágora	1020,1,150000,50000,1
pay_dun02,227,184,0,0	monster	Mandrágora	1020,1,150000,50000,1
pay_dun02,229,183,0,0	monster	Mandrágora	1020,1,150000,50000,1
pay_dun02,107,190,0,0	monster	Hidra	1068,1,160000,50000,1
pay_dun02,108,191,0,0	monster	Hidra	1068,1,165100,50000,1
pay_dun02,109,193,0,0	monster	Hidra	1068,1,150000,50000,1
pay_dun02,109,192,0,0	monster	Hidra	1068,1,187000,50000,1
pay_dun02,110,194,0,0	monster	Hidra	1068,1,150000,50000,1
pay_dun02,110,190,0,0	monster	Hidra	1068,1,150000,50000,1
pay_dun02,111,191,0,0	monster	Hidra	1068,1,150000,50000,1
pay_dun02,112,192,0,0	monster	Hidra	1068,1,150000,50000,1
pay_dun02,113,194,0,0	monster	Hidra	1068,1,159500,50000,1
pay_dun02,113,193,0,0	monster	Hidra	1068,1,150000,50000,1
pay_dun02,116,205,0,0	monster	Hidra	1068,1,172500,50000,1
pay_dun02,116,199,0,0	monster	Hidra	1068,1,153000,50000,1
pay_dun02,116,196,0,0	monster	Hidra	1068,1,150000,50000,1
pay_dun02,116,190,0,0	monster	Hidra	1068,1,163000,50000,1
pay_dun02,117,206,0,0	monster	Hidra	1068,1,151000,50000,1
pay_dun02,117,200,0,0	monster	Hidra	1068,1,137500,50000,1
pay_dun02,117,197,0,0	monster	Hidra	1068,1,157000,50000,1
pay_dun02,117,191,0,0	monster	Hidra	1068,1,150000,50000,1
pay_dun02,118,207,0,0	monster	Hidra	1068,1,166000,50000,1
pay_dun02,118,201,0,0	monster	Hidra	1068,1,150000,50000,1
pay_dun02,118,198,0,0	monster	Hidra	1068,1,156000,50000,1
pay_dun02,118,192,0,0	monster	Hidra	1068,1,142500,50000,1
pay_dun02,119,205,0,0	monster	Hidra	1068,1,162000,50000,1
pay_dun02,119,199,0,0	monster	Hidra	1068,1,157500,50000,1
pay_dun02,119,196,0,0	monster	Hidra	1068,1,157500,50000,1
pay_dun02,120,203,0,0	monster	Hidra	1068,1,150000,50000,1
pay_dun02,120,200,0,0	monster	Hidra	1068,1,151500,50000,1
pay_dun02,120,194,0,0	monster	Hidra	1068,1,150000,50000,1
pay_dun02,121,200,0,0	monster	Hidra	1068,1,166500,50000,1
pay_dun02,122,200,0,0	monster	Hidra	1068,1,150000,50000,1
pay_dun02,122,197,0,0	monster	Hidra	1068,1,160500,50000,1
pay_dun02,0,0,0,0	monster	Magnólia	1138,15,0,0,0
pay_dun02,0,0,0,0	monster	Esqueleto Soldado	1028,2,90000,45000,1
pay_dun02,0,0,0,0	monster	Munak	1026,40,0,0,0
pay_dun02,0,0,0,0	monster	Bongun	1188,30,0,0,0
pay_dun02,0,0,0,0	monster	Esqueleto Arqueiro	1016,2,90000,45000,1

pay_dun03,138,42,0,0	monster	Planta Azul	1079,1,300000,150000,1
pay_dun03,120,186,0,0	monster	Planta Verde	1080,1,300000,150000,1
pay_dun03,0,0,0,0	monster	Planta Vermelha	1078,15,180000,90000,1
pay_dun03,228,61,0,0	monster	Planta Vermelha	1078,1,300000,150000,1
pay_dun03,0,0,0,0	monster	Planta Branca	1082,5,180000,90000,1
pay_dun03,88,35,0,0	monster	Planta Amarela	1081,1,300000,150000,1
pay_dun03,126,135,0,0	monster	Mandrágora	1020,1,150000,50000,1
pay_dun03,126,134,0,0	monster	Mandrágora	1020,1,150000,50000,1
pay_dun03,126,133,0,0	monster	Mandrágora	1020,1,150000,50000,1
